2024-04-20 16:47:53,138 [MainThread  ] [INFO ] Logging started with level: INFO
2024-04-20 16:47:53,162 [MainThread  ] [INFO ] Pendulum-v1 experiment start
2024-04-20 16:47:53,163 [MainThread  ] [INFO ] 
2024-04-20 16:47:53,163 [MainThread  ] [INFO ] Episode 0
2024-04-20 16:47:53,163 [MainThread  ] [INFO ] Replay Buffer 0
2024-04-20 16:47:53,163 [MainThread  ] [INFO ] 
2024-04-20 16:47:54,345 [MainThread  ] [INFO ] Total Reward -1129.9057261760984, Theta 2.903907060623169, Last State [ 2.903907 -5.042524]
2024-04-20 16:47:54,346 [MainThread  ] [INFO ] Best Total Reward -1129.9057261760984, Best Theta 5.446247577667236
2024-04-20 16:47:54,346 [MainThread  ] [INFO ] 
2024-04-20 16:47:54,346 [MainThread  ] [INFO ] Episode 1
2024-04-20 16:47:54,346 [MainThread  ] [INFO ] Replay Buffer 200
2024-04-20 16:47:54,346 [MainThread  ] [INFO ] 
2024-04-20 16:47:55,365 [MainThread  ] [INFO ] Total Reward -1596.0260449921093, Theta 3.383349657058716, Last State [ 3.3833497  -0.95821923]
2024-04-20 16:47:55,365 [MainThread  ] [INFO ] Best Total Reward -1129.9057261760984, Best Theta 5.446247577667236
2024-04-20 16:47:55,365 [MainThread  ] [INFO ] 
2024-04-20 16:47:55,365 [MainThread  ] [INFO ] Episode 2
2024-04-20 16:47:55,365 [MainThread  ] [INFO ] Replay Buffer 400
2024-04-20 16:47:55,365 [MainThread  ] [INFO ] 
2024-04-20 16:47:56,357 [MainThread  ] [INFO ] Total Reward -1356.832956127796, Theta 6.222411632537842, Last State [6.2224116 4.589423 ]
2024-04-20 16:47:56,357 [MainThread  ] [INFO ] Best Total Reward -1129.9057261760984, Best Theta 6.275923252105713
2024-04-20 16:47:56,357 [MainThread  ] [INFO ] 
2024-04-20 16:47:56,357 [MainThread  ] [INFO ] Episode 3
2024-04-20 16:47:56,357 [MainThread  ] [INFO ] Replay Buffer 600
2024-04-20 16:47:56,357 [MainThread  ] [INFO ] 
