2024-04-15 15:47:29,461 [MainThread  ] [INFO ] Logging started with level: INFO
2024-04-15 15:47:29,464 [MainThread  ] [INFO ] Pendulum-v1 experiment start with priors
2024-04-15 15:47:29,471 [MainThread  ] [INFO ] Total Reward -1538.7794609442426, Theta 3.6877784729003906, Last State [ 3.6877785  -0.19245046]
2024-04-15 15:47:29,471 [MainThread  ] [INFO ] 
2024-04-15 15:47:29,476 [MainThread  ] [INFO ] Total Reward -1537.3424392453571, Theta 3.6877784729003906, Last State [ 3.6877785  -0.19245103]
2024-04-15 15:47:29,476 [MainThread  ] [INFO ] 
2024-04-15 15:47:29,481 [MainThread  ] [INFO ] Total Reward -1550.9250693646384, Theta 2.6748883724212646, Last State [ 2.6748884  -0.56211436]
2024-04-15 15:47:29,482 [MainThread  ] [INFO ] 
2024-04-15 15:47:29,487 [MainThread  ] [INFO ] Total Reward -1520.566018010012, Theta 2.7166566848754883, Last State [2.7166567 1.5429647]
2024-04-15 15:47:29,487 [MainThread  ] [INFO ] 
2024-04-15 15:47:29,493 [MainThread  ] [INFO ] Total Reward -1551.4319796032225, Theta 3.687276840209961, Last State [3.6872768  0.28558257]
2024-04-15 15:47:29,493 [MainThread  ] [INFO ] 
2024-04-15 15:47:29,493 [MainThread  ] [INFO ] Finish
2024-04-15 15:47:29,493 [MainThread  ] [INFO ] 
2024-04-15 15:47:29,514 [MainThread  ] [INFO ] Iteration 0
2024-04-15 15:47:29,515 [MainThread  ] [INFO ] Pendulum-v1 experiment start with Lambda 0.0
2024-04-15 15:47:29,515 [MainThread  ] [INFO ] Episode 0
2024-04-15 15:47:29,515 [MainThread  ] [INFO ] Replay Buffer 0
2024-04-15 15:47:29,515 [MainThread  ] [INFO ] 
2024-04-15 15:47:31,144 [MainThread  ] [INFO ] Total Reward -1459.5963572083276, Theta 3.441854238510132, Last State [3.4418542 8.       ], Lambda Mix 0.0
2024-04-15 15:47:31,144 [MainThread  ] [INFO ] 
2024-04-15 15:47:31,145 [MainThread  ] [INFO ] Episode 1
2024-04-15 15:47:31,145 [MainThread  ] [INFO ] Replay Buffer 200
2024-04-15 15:47:31,145 [MainThread  ] [INFO ] 
2024-04-15 15:47:32,308 [MainThread  ] [INFO ] Total Reward -1181.0024470887502, Theta 4.552641868591309, Last State [4.552642  1.2768023], Lambda Mix 0.0
2024-04-15 15:47:32,308 [MainThread  ] [INFO ] 
2024-04-15 15:47:32,308 [MainThread  ] [INFO ] Episode 2
2024-04-15 15:47:32,308 [MainThread  ] [INFO ] Replay Buffer 400
2024-04-15 15:47:32,308 [MainThread  ] [INFO ] 
2024-04-15 15:47:33,567 [MainThread  ] [INFO ] Total Reward -1222.9908973466422, Theta 2.6111912727355957, Last State [2.6111913 1.4765764], Lambda Mix 0.0
2024-04-15 15:47:33,567 [MainThread  ] [INFO ] 
2024-04-15 15:47:33,567 [MainThread  ] [INFO ] Episode 3
2024-04-15 15:47:33,567 [MainThread  ] [INFO ] Replay Buffer 600
2024-04-15 15:47:33,567 [MainThread  ] [INFO ] 
2024-04-15 15:47:34,985 [MainThread  ] [INFO ] Total Reward -1688.0037242696485, Theta 3.5706729888916016, Last State [3.570673   0.26491505], Lambda Mix 0.0
2024-04-15 15:47:34,985 [MainThread  ] [INFO ] 
2024-04-15 15:47:34,985 [MainThread  ] [INFO ] Episode 4
2024-04-15 15:47:34,985 [MainThread  ] [INFO ] Replay Buffer 800
2024-04-15 15:47:34,985 [MainThread  ] [INFO ] 
2024-04-15 15:47:36,101 [MainThread  ] [INFO ] Total Reward -1568.8527906874413, Theta 1.0377717018127441, Last State [1.0377717 7.440234 ], Lambda Mix 0.0
2024-04-15 15:47:36,101 [MainThread  ] [INFO ] 
2024-04-15 15:47:36,101 [MainThread  ] [INFO ] Episode 5
2024-04-15 15:47:36,101 [MainThread  ] [INFO ] Replay Buffer 1000
