2024-04-20 17:13:12,120 [MainThread  ] [INFO ] Logging started with level: INFO
2024-04-20 17:13:12,142 [MainThread  ] [INFO ] Pendulum-v1 experiment start
2024-04-20 17:13:12,142 [MainThread  ] [INFO ] 
2024-04-20 17:13:12,142 [MainThread  ] [INFO ] Episode 0
2024-04-20 17:13:12,142 [MainThread  ] [INFO ] Replay Buffer 0
2024-04-20 17:13:12,142 [MainThread  ] [INFO ] 
2024-04-20 17:13:13,311 [MainThread  ] [INFO ] Total Reward -1425.6027229360368, Theta 3.095999240875244, Last State [3.0959992 8.       ]
2024-04-20 17:13:13,311 [MainThread  ] [INFO ] Best Total Reward -1425.6027229360368, Best Theta 6.260603904724121
2024-04-20 17:13:13,311 [MainThread  ] [INFO ] 
2024-04-20 17:13:13,311 [MainThread  ] [INFO ] Episode 1
2024-04-20 17:13:13,311 [MainThread  ] [INFO ] Replay Buffer 200
2024-04-20 17:13:13,311 [MainThread  ] [INFO ] 
2024-04-20 17:13:14,501 [MainThread  ] [INFO ] Total Reward -1635.6554673996195, Theta 2.8857955932617188, Last State [2.8857956 1.3508308]
2024-04-20 17:13:14,501 [MainThread  ] [INFO ] Best Total Reward -1425.6027229360368, Best Theta 6.260603904724121
2024-04-20 17:13:14,501 [MainThread  ] [INFO ] 
2024-04-20 17:13:14,501 [MainThread  ] [INFO ] Episode 2
2024-04-20 17:13:14,501 [MainThread  ] [INFO ] Replay Buffer 400
2024-04-20 17:13:14,501 [MainThread  ] [INFO ] 
2024-04-20 17:13:15,564 [MainThread  ] [INFO ] Total Reward -1657.5123498788876, Theta 3.0402867794036865, Last State [3.0402868 2.251054 ]
2024-04-20 17:13:15,564 [MainThread  ] [INFO ] Best Total Reward -1425.6027229360368, Best Theta 6.260603904724121
2024-04-20 17:13:15,564 [MainThread  ] [INFO ] 
2024-04-20 17:13:15,564 [MainThread  ] [INFO ] Episode 3
2024-04-20 17:13:15,564 [MainThread  ] [INFO ] Replay Buffer 600
2024-04-20 17:13:15,564 [MainThread  ] [INFO ] 
2024-04-20 17:13:16,632 [MainThread  ] [INFO ] Total Reward -1369.422824833014, Theta 5.409718036651611, Last State [5.409718 6.069157]
2024-04-20 17:13:16,632 [MainThread  ] [INFO ] Best Total Reward -1369.422824833014, Best Theta 6.275615692138672
2024-04-20 17:13:16,632 [MainThread  ] [INFO ] 
2024-04-20 17:13:16,632 [MainThread  ] [INFO ] Episode 4
2024-04-20 17:13:16,632 [MainThread  ] [INFO ] Replay Buffer 800
2024-04-20 17:13:16,632 [MainThread  ] [INFO ] 
2024-04-20 17:13:17,744 [MainThread  ] [INFO ] Total Reward -1583.906334495185, Theta 1.3721460103988647, Last State [1.372146  7.9907856]
2024-04-20 17:13:17,744 [MainThread  ] [INFO ] Best Total Reward -1369.422824833014, Best Theta 6.281524181365967
2024-04-20 17:13:17,744 [MainThread  ] [INFO ] 
2024-04-20 17:13:17,744 [MainThread  ] [INFO ] Episode 5
2024-04-20 17:13:17,744 [MainThread  ] [INFO ] Replay Buffer 1000
2024-04-20 17:13:17,744 [MainThread  ] [INFO ] 
2024-04-20 17:13:18,784 [MainThread  ] [INFO ] Total Reward -1565.2843509134616, Theta 0.7278978228569031, Last State [0.7278978 6.255905 ]
2024-04-20 17:13:18,784 [MainThread  ] [INFO ] Best Total Reward -1369.422824833014, Best Theta 6.281524181365967
2024-04-20 17:13:18,784 [MainThread  ] [INFO ] 
2024-04-20 17:13:18,784 [MainThread  ] [INFO ] Episode 6
2024-04-20 17:13:18,784 [MainThread  ] [INFO ] Replay Buffer 1200
2024-04-20 17:13:18,784 [MainThread  ] [INFO ] 
2024-04-20 17:13:19,821 [MainThread  ] [INFO ] Total Reward -1326.3919504761493, Theta 1.6144216060638428, Last State [1.6144216 7.9028416]
2024-04-20 17:13:19,821 [MainThread  ] [INFO ] Best Total Reward -1326.3919504761493, Best Theta 6.281524181365967
2024-04-20 17:13:19,821 [MainThread  ] [INFO ] 
2024-04-20 17:13:19,821 [MainThread  ] [INFO ] Episode 7
2024-04-20 17:13:19,821 [MainThread  ] [INFO ] Replay Buffer 1400
2024-04-20 17:13:19,821 [MainThread  ] [INFO ] 
2024-04-20 17:13:20,851 [MainThread  ] [INFO ] Total Reward -1201.1246006685662, Theta 3.0506608486175537, Last State [3.0506608 8.       ]
2024-04-20 17:13:20,851 [MainThread  ] [INFO ] Best Total Reward -1201.1246006685662, Best Theta 6.281524181365967
2024-04-20 17:13:20,851 [MainThread  ] [INFO ] 
2024-04-20 17:13:20,851 [MainThread  ] [INFO ] Episode 8
2024-04-20 17:13:20,851 [MainThread  ] [INFO ] Replay Buffer 1600
2024-04-20 17:13:20,851 [MainThread  ] [INFO ] 
2024-04-20 17:13:21,889 [MainThread  ] [INFO ] Total Reward -1524.1889475376283, Theta 2.54604172706604, Last State [ 2.5460417 -0.811234 ]
2024-04-20 17:13:21,889 [MainThread  ] [INFO ] Best Total Reward -1201.1246006685662, Best Theta 6.281524181365967
2024-04-20 17:13:21,889 [MainThread  ] [INFO ] 
2024-04-20 17:13:21,889 [MainThread  ] [INFO ] Episode 9
2024-04-20 17:13:21,889 [MainThread  ] [INFO ] Replay Buffer 1800
2024-04-20 17:13:21,889 [MainThread  ] [INFO ] 
2024-04-20 17:13:22,917 [MainThread  ] [INFO ] Total Reward -1237.697184699443, Theta 3.0391805171966553, Last State [3.0391805 3.8676605]
2024-04-20 17:13:22,917 [MainThread  ] [INFO ] Best Total Reward -1201.1246006685662, Best Theta 6.281524181365967
2024-04-20 17:13:22,917 [MainThread  ] [INFO ] 
2024-04-20 17:13:22,917 [MainThread  ] [INFO ] Episode 10
2024-04-20 17:13:22,917 [MainThread  ] [INFO ] Replay Buffer 2000
2024-04-20 17:13:22,917 [MainThread  ] [INFO ] 
2024-04-20 17:13:23,955 [MainThread  ] [INFO ] Total Reward -1227.1954359085732, Theta 0.4307844340801239, Last State [0.43078443 3.674823  ]
2024-04-20 17:13:23,955 [MainThread  ] [INFO ] Best Total Reward -1201.1246006685662, Best Theta 6.281524181365967
2024-04-20 17:13:23,955 [MainThread  ] [INFO ] 
2024-04-20 17:13:23,955 [MainThread  ] [INFO ] Episode 11
2024-04-20 17:13:23,955 [MainThread  ] [INFO ] Replay Buffer 2200
2024-04-20 17:13:23,955 [MainThread  ] [INFO ] 
2024-04-20 17:13:24,987 [MainThread  ] [INFO ] Total Reward -1181.6994165199987, Theta 1.955020546913147, Last State [1.9550205 2.5548882]
2024-04-20 17:13:24,987 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:24,987 [MainThread  ] [INFO ] 
2024-04-20 17:13:24,987 [MainThread  ] [INFO ] Episode 12
2024-04-20 17:13:24,987 [MainThread  ] [INFO ] Replay Buffer 2400
2024-04-20 17:13:24,987 [MainThread  ] [INFO ] 
2024-04-20 17:13:26,037 [MainThread  ] [INFO ] Total Reward -1530.7203254533329, Theta 3.644275665283203, Last State [3.6442757 0.3499856]
2024-04-20 17:13:26,037 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:26,037 [MainThread  ] [INFO ] 
2024-04-20 17:13:26,037 [MainThread  ] [INFO ] Episode 13
2024-04-20 17:13:26,037 [MainThread  ] [INFO ] Replay Buffer 2600
2024-04-20 17:13:26,037 [MainThread  ] [INFO ] 
2024-04-20 17:13:27,085 [MainThread  ] [INFO ] Total Reward -1485.335659596409, Theta 3.1554324626922607, Last State [3.1554325 0.9598466]
2024-04-20 17:13:27,085 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:27,085 [MainThread  ] [INFO ] 
2024-04-20 17:13:27,085 [MainThread  ] [INFO ] Episode 14
2024-04-20 17:13:27,085 [MainThread  ] [INFO ] Replay Buffer 2800
2024-04-20 17:13:27,085 [MainThread  ] [INFO ] 
2024-04-20 17:13:28,133 [MainThread  ] [INFO ] Total Reward -1504.6002794919639, Theta 2.8893191814422607, Last State [ 2.8893192  -0.94601804]
2024-04-20 17:13:28,133 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:28,133 [MainThread  ] [INFO ] 
2024-04-20 17:13:28,134 [MainThread  ] [INFO ] Episode 15
2024-04-20 17:13:28,134 [MainThread  ] [INFO ] Replay Buffer 3000
2024-04-20 17:13:28,134 [MainThread  ] [INFO ] 
2024-04-20 17:13:29,201 [MainThread  ] [INFO ] Total Reward -1354.2704463703585, Theta 3.7517824172973633, Last State [3.7517824 1.6080256]
2024-04-20 17:13:29,201 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:29,201 [MainThread  ] [INFO ] 
2024-04-20 17:13:29,201 [MainThread  ] [INFO ] Episode 16
2024-04-20 17:13:29,201 [MainThread  ] [INFO ] Replay Buffer 3200
2024-04-20 17:13:29,201 [MainThread  ] [INFO ] 
2024-04-20 17:13:30,283 [MainThread  ] [INFO ] Total Reward -1465.1237323695016, Theta 3.534402847290039, Last State [3.5344028 2.5103054]
2024-04-20 17:13:30,283 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:30,283 [MainThread  ] [INFO ] 
2024-04-20 17:13:30,283 [MainThread  ] [INFO ] Episode 17
2024-04-20 17:13:30,283 [MainThread  ] [INFO ] Replay Buffer 3400
2024-04-20 17:13:30,283 [MainThread  ] [INFO ] 
2024-04-20 17:13:31,340 [MainThread  ] [INFO ] Total Reward -1347.6428216773006, Theta 3.5336291790008545, Last State [ 3.5336292 -2.942979 ]
2024-04-20 17:13:31,340 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:31,340 [MainThread  ] [INFO ] 
2024-04-20 17:13:31,340 [MainThread  ] [INFO ] Episode 18
2024-04-20 17:13:31,340 [MainThread  ] [INFO ] Replay Buffer 3600
2024-04-20 17:13:31,340 [MainThread  ] [INFO ] 
2024-04-20 17:13:32,411 [MainThread  ] [INFO ] Total Reward -1518.6410194540465, Theta 3.572070837020874, Last State [3.5720708  0.10409123]
2024-04-20 17:13:32,411 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:32,411 [MainThread  ] [INFO ] 
2024-04-20 17:13:32,411 [MainThread  ] [INFO ] Episode 19
2024-04-20 17:13:32,411 [MainThread  ] [INFO ] Replay Buffer 3800
2024-04-20 17:13:32,411 [MainThread  ] [INFO ] 
2024-04-20 17:13:33,469 [MainThread  ] [INFO ] Total Reward -1696.0301417035434, Theta 3.0433473587036133, Last State [ 3.0433474  -0.17057288]
2024-04-20 17:13:33,470 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:33,470 [MainThread  ] [INFO ] 
2024-04-20 17:13:33,470 [MainThread  ] [INFO ] Episode 20
2024-04-20 17:13:33,470 [MainThread  ] [INFO ] Replay Buffer 4000
2024-04-20 17:13:33,470 [MainThread  ] [INFO ] 
2024-04-20 17:13:34,529 [MainThread  ] [INFO ] Total Reward -1357.4194238404204, Theta 3.1958694458007812, Last State [3.1958694  0.06681061]
2024-04-20 17:13:34,529 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:34,529 [MainThread  ] [INFO ] 
2024-04-20 17:13:34,529 [MainThread  ] [INFO ] Episode 21
2024-04-20 17:13:34,529 [MainThread  ] [INFO ] Replay Buffer 4200
2024-04-20 17:13:34,529 [MainThread  ] [INFO ] 
2024-04-20 17:13:35,588 [MainThread  ] [INFO ] Total Reward -1678.6421441807752, Theta 3.186893939971924, Last State [3.186894   0.11246312]
2024-04-20 17:13:35,588 [MainThread  ] [INFO ] Best Total Reward -1181.6994165199987, Best Theta 6.281524181365967
2024-04-20 17:13:35,588 [MainThread  ] [INFO ] 
2024-04-20 17:13:35,588 [MainThread  ] [INFO ] Episode 22
2024-04-20 17:13:35,588 [MainThread  ] [INFO ] Replay Buffer 4400
2024-04-20 17:13:35,588 [MainThread  ] [INFO ] 
2024-04-20 17:13:36,672 [MainThread  ] [INFO ] Total Reward -4.869607578469766, Theta 6.267024993896484, Last State [6.267025   0.18292695]
2024-04-20 17:13:36,674 [MainThread  ] [INFO ] Best Total Reward -4.869607578469766, Best Theta 6.282492160797119
2024-04-20 17:13:36,674 [MainThread  ] [INFO ] 
2024-04-20 17:13:36,674 [MainThread  ] [INFO ] Episode 23
2024-04-20 17:13:36,674 [MainThread  ] [INFO ] Replay Buffer 4600
2024-04-20 17:13:36,674 [MainThread  ] [INFO ] 
2024-04-20 17:13:37,840 [MainThread  ] [INFO ] Total Reward -1427.021320638318, Theta 3.3128433227539062, Last State [ 3.3128433  -0.07218003]
2024-04-20 17:13:37,840 [MainThread  ] [INFO ] Best Total Reward -4.869607578469766, Best Theta 6.282492160797119
2024-04-20 17:13:37,841 [MainThread  ] [INFO ] 
2024-04-20 17:13:37,841 [MainThread  ] [INFO ] Episode 24
2024-04-20 17:13:37,841 [MainThread  ] [INFO ] Replay Buffer 4800
2024-04-20 17:13:37,841 [MainThread  ] [INFO ] 
2024-04-20 17:13:38,903 [MainThread  ] [INFO ] Total Reward -1407.988810993816, Theta 3.4359679222106934, Last State [3.435968   0.35019267]
2024-04-20 17:13:38,903 [MainThread  ] [INFO ] Best Total Reward -4.869607578469766, Best Theta 6.282492160797119
2024-04-20 17:13:38,903 [MainThread  ] [INFO ] 
2024-04-20 17:13:38,903 [MainThread  ] [INFO ] Episode 25
2024-04-20 17:13:38,903 [MainThread  ] [INFO ] Replay Buffer 5000
2024-04-20 17:13:38,903 [MainThread  ] [INFO ] 
2024-04-20 17:13:39,986 [MainThread  ] [INFO ] Total Reward -1487.7881118104735, Theta 3.5242040157318115, Last State [ 3.524204   -0.20142172]
2024-04-20 17:13:39,987 [MainThread  ] [INFO ] Best Total Reward -4.869607578469766, Best Theta 6.282492160797119
2024-04-20 17:13:39,987 [MainThread  ] [INFO ] Now we save the model
